"funnel_step","funnel_name","user_count","ride_count","platform_name","age_ranges","datedownload"
"0","download","64","","ios","","2021-09-15"
"0","download","58","","ios","","2021-02-11"
"0","download","57","","ios","","2021-08-03"
"0","download","54","","ios","","2021-09-05"
"0","download","53","","ios","","2021-02-04"
"0","download","53","","ios","","2021-01-04"
"0","download","53","","ios","","2021-01-20"
"0","download","52","","ios","","2021-07-21"
"0","download","52","","ios","","2021-06-02"
"0","download","52","","ios","","2021-08-16"
"0","download","52","","ios","","2021-07-08"
"0","download","51","","ios","","2021-09-12"
"0","download","51","","ios","","2021-04-05"
"0","download","51","","ios","","2021-05-26"
"0","download","51","","ios","","2021-02-02"
"0","download","51","","ios","","2021-03-13"
"0","download","51","","ios","","2021-02-16"
"0","download","50","","ios","","2021-05-19"
"0","download","50","","ios","","2021-03-25"
"0","download","50","","ios","","2021-05-11"
"0","download","50","","ios","","2021-01-16"
"0","download","50","","ios","","2021-12-06"
"0","download","50","","ios","","2021-06-17"
"0","download","49","","ios","","2021-05-10"
"0","download","49","","ios","","2021-10-04"
"0","download","49","","ios","","2021-03-18"
"0","download","49","","ios","","2021-09-28"
"0","download","49","","ios","","2021-06-23"
"0","download","49","","ios","","2021-04-07"
"0","download","48","","ios","","2021-11-16"
"0","download","48","","ios","","2021-09-04"
"0","download","48","","ios","","2021-07-07"
"0","download","48","","ios","","2021-11-15"
"0","download","48","","ios","","2021-09-08"
"0","download","48","","ios","","2021-09-27"
"0","download","48","","ios","","2021-07-02"
"0","download","48","","ios","","2021-06-07"
"0","download","48","","ios","","2021-12-24"
"0","download","48","","ios","","2021-09-20"
"0","download","48","","ios","","2021-08-15"
"0","download","47","","ios","","2021-04-09"
"0","download","47","","ios","","2021-06-26"
"0","download","47","","ios","","2021-11-04"
"0","download","47","","ios","","2021-05-07"
"0","download","47","","ios","","2021-04-18"
"0","download","47","","ios","","2021-04-10"
"0","download","47","","ios","","2021-12-21"
"0","download","47","","ios","","2021-12-29"
"0","download","47","","ios","","2021-02-25"
"0","download","47","","ios","","2021-09-06"
"0","download","46","","ios","","2021-04-12"
"0","download","46","","ios","","2021-06-04"
"0","download","46","","ios","","2021-07-24"
"0","download","46","","ios","","2021-06-14"
"0","download","46","","ios","","2021-01-13"
"0","download","46","","ios","","2021-06-25"
"0","download","46","","ios","","2021-01-02"
"0","download","46","","ios","","2021-08-17"
"0","download","46","","ios","","2021-04-28"
"0","download","46","","ios","","2021-09-21"
"0","download","46","","ios","","2021-11-11"
"0","download","46","","ios","","2021-09-24"
"0","download","46","","ios","","2021-11-27"
"0","download","46","","ios","","2021-12-28"
"0","download","46","","ios","","2021-06-11"
"0","download","46","","ios","","2021-08-08"
"0","download","46","","ios","","2021-05-16"
"0","download","46","","ios","","2021-11-01"
"0","download","45","","ios","","2021-10-11"
"0","download","45","","ios","","2021-08-02"
"0","download","45","","ios","","2021-01-31"
